name;measure;value_2020;value_2021;value_2022;value_2023;rank_2020;rank_2021;rank_2022;rank_2023;matrix_class_2020;matrix_class_2021;matrix_class_2022;matrix_class_2023
Huayang New Material Technology Group;assets_m;35409.0;39670.0;0.0;0.0;413.0;408.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
Huayang New Material Technology Group;employees;101817.0;99487.0;0.0;0.0;226.0;230.0;0.0;0.0;"]70% ; 80%]";"]80% ; 90%]";na_class;na_class
Huayang New Material Technology Group;profits_m;-82.0;-173.0;0.0;0.0;440.0;427.0;0.0;0.0;<=0;<=0;na_class;na_class
Huayang New Material Technology Group;revenues_m;25491.0;25188.0;0.0;0.0;496.0;480.0;0.0;0.0;"]90% ; 100%]";"]90% ; 100%]";na_class;na_class
Humana;assets_m;29074.0;34969.0;44358.0;43055.0;436.0;425.0;388.0;390.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Humana;employees;46000.0;48700.0;95500.0;67100.0;375.0;365.0;244.0;317.0;"]90% ; 100%]";"]90% ; 100%]";"]80% ; 90%]";"]90% ; 100%]"
Humana;profits_m;2707.0;3367.0;2933.0;2806.0;217.0;155.0;255.0;237.0;"]80% ; 90%]";"]80% ; 90%]";"]90% ; 100%]";"]90% ; 100%]"
Humana;revenues_m;64888.0;77155.0;83064.0;92870.0;166.0;110.0;132.0;116.0;"]60% ; 70%]";"]40% ; 50%]";"]50% ; 60%]";"]50% ; 60%]"
Hunan Iron & Steel Group;assets_m;0.0;0.0;21604.0;22772.0;0.0;0.0;463.0;457.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Hunan Iron & Steel Group;employees;0.0;0.0;33764.0;35492.0;0.0;0.0;408.0;398.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Hunan Iron & Steel Group;profits_m;0.0;0.0;1269.0;1176.0;0.0;0.0;351.0;337.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Hunan Iron & Steel Group;revenues_m;0.0;0.0;34061.0;32723.0;0.0;0.0;421.0;463.0;na_class;na_class;"]90% ; 100%]";"]90% ; 100%]"
Hyundai Mobis;assets_m;40306.0;44620.0;43320.0;44045.0;394.0;391.0;393.0;382.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Hyundai Mobis;employees;32065.0;35087.0;33702.0;33125.0;407.0;411.0;409.0;407.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Hyundai Mobis;profits_m;1966.0;1296.0;2056.0;1925.0;252.0;278.0;292.0;277.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Hyundai Mobis;revenues_m;32649.0;31047.0;36442.0;40210.0;383.0;397.0;390.0;369.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]80% ; 90%]"
Hyundai Motor;assets_m;168220.0;192605.0;196855.0;203299.0;159.0;149.0;150.0;134.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Hyundai Motor;employees;114032.0;122814.0;121403.0;72689.0;201.0;183.0;186.0;297.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]80% ; 90%]"
Hyundai Motor;profits_m;2557.0;1208.0;4319.0;5705.0;224.0;286.0;202.0;143.0;"]80% ; 90%]";"]90% ; 100%]";"]80% ; 90%]";"]70% ; 80%]"
Hyundai Motor;revenues_m;90740.0;88156.0;102775.0;110412.0;84.0;83.0;92.0;85.0;"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]"
IBM;assets_m;152186.0;155971.0;132001.0;127243.0;175.0;175.0;211.0;201.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
IBM;employees;383800.0;364800.0;297800.0;303100.0;28.0;31.0;52.0;54.0;"]20% ; 30%]";"]20% ; 30%]";"]30% ; 40%]";"]30% ; 40%]"
IBM;profits_m;9431.0;5590.0;5743.0;1639.0;53.0;88.0;155.0;291.0;"]50% ; 60%]";"]60% ; 70%]";"]70% ; 80%]";"]90% ; 100%]"
IBM;revenues_m;77147.0;73620.0;72344.0;60530.0;118.0;121.0;168.0;223.0;"]50% ; 60%]";"]50% ; 60%]";"]60% ; 70%]";"]70% ; 80%]"
ING Group;assets_m;997275.0;1142896.0;1079297.0;1042282.0;34.0;36.0;39.0;37.0;"]40% ; 50%]";"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]"
ING Group;employees;55063.0;57527.0;57660.0;58232.0;352.0;343.0;336.0;335.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
ING Group;profits_m;4369.0;2564.0;7036.0;12754.0;133.0;191.0;123.0;59.0;"]70% ; 80%]";"]80% ; 90%]";"]70% ; 80%]";"]50% ; 60%]"
ING Group;revenues_m;36990.0;31605.0;33851.0;48062.0;340.0;390.0;425.0;295.0;"]80% ; 90%]";"]90% ; 100%]";"]90% ; 100%]";"]80% ; 90%]"
Iberdrola;assets_m;137347.0;149938.0;161172.0;165030.0;182.0;186.0;178.0;163.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Iberdrola;employees;34306.0;35637.0;38702.0;40090.0;403.0;408.0;389.0;382.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Iberdrola;profits_m;3813.0;4115.0;4593.0;4564.0;159.0;124.0;193.0;176.0;"]70% ; 80%]";"]70% ; 80%]";"]80% ; 90%]";"]80% ; 90%]"
Iberdrola;revenues_m;40783.0;37767.0;46246.0;56741.0;301.0;319.0;304.0;245.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]70% ; 80%]"
Idemitsu Kosan;assets_m;35967.0;35755.0;37898.0;36653.0;410.0;423.0;413.0;416.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Idemitsu Kosan;employees;16020.0;16560.0;16606.0;16795.0;454.0;465.0;454.0;447.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Idemitsu Kosan;profits_m;-211.0;329.0;2488.0;1874.0;451.0;373.0;269.0;280.0;<=0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Idemitsu Kosan;revenues_m;48892.0;37792.0;52336.0;61424.0;236.0;318.0;250.0;220.0;"]70% ; 80%]";"]80% ; 90%]";"]70% ; 80%]";"]70% ; 80%]"
Indian Oil;assets_m;43609.0;48528.0;54120.0;53808.0;375.0;372.0;356.0;352.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Indian Oil;employees;34996.0;33439.0;32938.0;32791.0;401.0;416.0;413.0;410.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Indian Oil;profits_m;-126.0;2916.0;3370.0;1219.0;445.0;176.0;236.0;331.0;<=0;"]80% ; 90%]";"]80% ; 90%]";"]90% ; 100%]"
Indian Oil;revenues_m;69246.0;50433.0;79542.0;105349.0;151.0;212.0;142.0;94.0;"]50% ; 60%]";"]60% ; 70%]";"]50% ; 60%]";"]40% ; 50%]"
Inditex;assets_m;31460.0;0.0;32442.0;32556.0;427.0;0.0;431.0;424.0;"]90% ; 100%]";na_class;"]90% ; 100%]";"]90% ; 100%]"
Inditex;employees;176611.0;0.0;165042.0;116323.0;119.0;0.0;133.0;193.0;"]50% ; 60%]";na_class;"]60% ; 70%]";"]70% ; 80%]"
Inditex;profits_m;4063.0;0.0;3811.0;4327.0;149.0;0.0;216.0;189.0;"]70% ; 80%]";na_class;"]80% ; 90%]";"]80% ; 90%]"
Inditex;revenues_m;31584.0;0.0;32572.0;34119.0;396.0;0.0;438.0;441.0;"]90% ; 100%]";na_class;"]90% ; 100%]";"]90% ; 100%]"
Industrial & Commercial Bank of China;assets_m;4322528.0;5110354.0;5536969.0;5742860.0;1.0;1.0;1.0;1.0;"]0% ; 10%]";"]0% ; 10%]";"]0% ; 10%]";"]0% ; 10%]"
Industrial & Commercial Bank of China;employees;445106.0;439787.0;434089.0;427587.0;19.0;20.0;19.0;23.0;"]10% ; 20%]";"]20% ; 30%]";"]20% ; 30%]";"]20% ; 30%]"
Industrial & Commercial Bank of China;profits_m;45195.0;45783.0;54003.0;53589.0;4.0;4.0;6.0;7.0;"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]"
Industrial & Commercial Bank of China;revenues_m;177069.0;182794.0;209000.0;214766.0;24.0;20.0;22.0;28.0;"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]";"]20% ; 30%]"
Industrial Bank;assets_m;1025838.0;1209808.0;1354359.0;1343541.0;32.0;33.0;31.0;31.0;"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]";"]50% ; 60%]"
Industrial Bank;employees;60455.0;59630.0;62537.0;69840.0;335.0;335.0;327.0;307.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Industrial Bank;profits_m;9534.0;9656.0;12818.0;13584.0;52.0;45.0;63.0;52.0;"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]";"]50% ; 60%]"
Industrial Bank;revenues_m;50945.0;53314.0;61331.0;60962.0;222.0;196.0;208.0;222.0;"]70% ; 80%]";"]60% ; 70%]";"]60% ; 70%]";"]70% ; 80%]"
Ingka Group;assets_m;0.0;62381.0;65011.0;58116.0;0.0;330.0;327.0;341.0;na_class;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Ingka Group;employees;0.0;166350.0;174225.0;177192.0;0.0;129.0;120.0;122.0;na_class;"]60% ; 70%]";"]50% ; 60%]";"]60% ; 70%]"
Ingka Group;profits_m;0.0;1323.0;1887.0;315.0;0.0;276.0;309.0;415.0;na_class;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Ingka Group;revenues_m;0.0;41580.0;47546.0;46135.0;0.0;286.0;287.0;312.0;na_class;"]70% ; 80%]";"]70% ; 80%]";"]80% ; 90%]"
Intel;assets_m;136524.0;153091.0;168406.0;182103.0;185.0;181.0;171.0;153.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Intel;employees;110800.0;110600.0;121100.0;131900.0;210.0;201.0;187.0;165.0;"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]";"]70% ; 80%]"
Intel;profits_m;21048.0;20899.0;19868.0;8014.0;14.0;18.0;35.0;99.0;"]20% ; 30%]";"]30% ; 40%]";"]40% ; 50%]";"]60% ; 70%]"
Intel;revenues_m;71965.0;77867.0;79024.0;63054.0;138.0;108.0;145.0;210.0;"]50% ; 60%]";"]40% ; 50%]";"]50% ; 60%]";"]60% ; 70%]"
International Airlines Group;assets_m;40026.0;0.0;0.0;0.0;395.0;0.0;0.0;0.0;"]90% ; 100%]";na_class;na_class;na_class
International Airlines Group;employees;66034.0;0.0;0.0;0.0;325.0;0.0;0.0;0.0;"]90% ; 100%]";na_class;na_class;na_class
International Airlines Group;profits_m;1920.0;0.0;0.0;0.0;257.0;0.0;0.0;0.0;"]90% ; 100%]";na_class;na_class;na_class
International Airlines Group;revenues_m;28548.0;0.0;0.0;0.0;444.0;0.0;0.0;0.0;"]90% ; 100%]";na_class;na_class;na_class
Intesa Sanpaolo;assets_m;915993.0;1226999.0;1215456.0;1041054.0;39.0;30.0;34.0;38.0;"]50% ; 60%]";"]40% ; 50%]";"]50% ; 60%]";"]50% ; 60%]"
Intesa Sanpaolo;employees;89102.0;105615.0;97698.0;95574.0;262.0;211.0;239.0;239.0;"]80% ; 90%]";"]70% ; 80%]";"]80% ; 90%]";"]80% ; 90%]"
Intesa Sanpaolo;profits_m;4681.0;3734.0;4948.0;4579.0;120.0;140.0;183.0;174.0;"]70% ; 80%]";"]70% ; 80%]";"]80% ; 90%]";"]80% ; 90%]"
Intesa Sanpaolo;revenues_m;40359.0;41258.0;46584.0;38836.0;308.0;291.0;298.0;380.0;"]80% ; 90%]";"]70% ; 80%]";"]80% ; 90%]";"]90% ; 100%]"
